사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020121200100051,2020년 12월 12일 07시,토요일,서울특별시 강남구 일원동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,79세,상해없음,승용,남,50세,경상
2020121200100089,2020년 12월 12일 10시,토요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,기타 - 기타,승용,여,29세,상해없음,보행자,남,22세,경상
2020121200100219,2020년 12월 12일 14시,토요일,서울특별시 강남구 신사동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,승용,남,33세,상해없음
2020121200100246,2020년 12월 12일 15시,토요일,서울특별시 강남구 수서동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,40세,상해없음,보행자,남,37세,경상
2020121200100348,2020년 12월 12일 18시,토요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,원동기,남,44세,경상
2020121200100428,2020년 12월 12일 20시,토요일,서울특별시 강남구 신사동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,42세,경상
2020121300100097,2020년 12월 13일 11시,일요일,서울특별시 강남구 신사동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,이륜,남,34세,중상,승용,남,53세,기타불명
2020121300100191,2020년 12월 13일 15시,일요일,서울특별시 강남구 도곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,승용,남,64세,경상
2020121300100302,2020년 12월 13일 19시,일요일,서울특별시 강남구 대치동,경상사고,0,0,2,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,39세,상해없음,승용,여,45세,경상
2020121400100156,2020년 12월 14일 11시,월요일,서울특별시 강남구 신사동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,62세,상해없음,보행자,남,79세,중상
2020121400100161,2020년 12월 14일 11시,월요일,서울특별시 강남구 도곡동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,34세,상해없음,화물,남,56세,상해없음
2020121400100214,2020년 12월 14일 13시,월요일,서울특별시 강남구 역삼동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,23세,중상
2020121400100387,2020년 12월 14일 18시,월요일,서울특별시 강남구 역삼동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 기타,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,이륜,남,59세,중상
2020121400100390,2020년 12월 14일 18시,월요일,서울특별시 강남구 도곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,53세,기타불명,승용,여,38세,경상
2020121400100452,2020년 12월 14일 19시,월요일,서울특별시 강남구 신사동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,남,30세,경상
